업체명,제품명,규격,납품수량,납품단가,납품금액,납품요구결재일자
동아오츠카주식회사,포카리스웨트,340mL,13848.0,470.0,6508560.0,20250804
(주)빙그레,슈퍼부스트수분충전,500mL,4080.0,880.0,3590400.0,20250804
(주)빙그레,슈퍼부스트파워충전,500mL,4080.0,880.0,3590400.0,20250804
(주)빙그레,슈퍼부스트수분충전,500mL,11688.0,880.0,10285440.0,20250804
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,1200.0,490.0,588000.0,20250804
코카콜라음료주식회사,토레타!,340mL/캔,2040.0,430.0,877200.0,20250804
동아오츠카주식회사,포카리스웨트,340mL,960.0,470.0,451200.0,20250804
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,6144.0,490.0,3010560.0,20250804
주식회사 케이헬스바이오,프로루틴단백질음료코코아,250mL,3624.0,1395.0,5055480.0,20250804
동아오츠카주식회사,포카리스웨트,340mL,3624.0,470.0,1703280.0,20250804
씨제이제일제당주식회사,얼티브비건프로틴초코,250mL,5796.0,1090.0,6317640.0,20250804
광동제약(주),비타500캔,240mL,420.0,462.0,194040.0,20250804
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,5808.0,490.0,2845920.0,20250805
(주)빙그레,더단백밸런스오리지널,190mL,10320.0,800.0,8256000.0,20250805
동아오츠카주식회사,포카리스웨트,340mL,1400.0,470.0,658000.0,20250806
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,1400.0,490.0,686000.0,20250806
매일유업 주식회사,어메이징오트초콜릿,330mL,3144.0,1309.0,4115496.0,20250806
매일유업 주식회사,어메이징오트오리지널,190mL,3144.0,462.0,1452528.0,20250806
매일유업 주식회사,셀렉스프로핏초콜릿,330mL×12개/상자,1020.0,1397.0,1424940.0,20250806
매일유업 주식회사,셀렉스프로핏복숭아아이스티,330mL×12개/상자,1368.0,1397.0,1911096.0,20250806
씨제이제일제당주식회사,얼티브비건프로틴초코,250mL,1512.0,1090.0,1648080.0,20250806
씨제이제일제당주식회사,얼티브프로틴밤맛,250mL,540.0,1090.0,588600.0,20250806
씨제이제일제당주식회사,얼티브프로틴쌀밥맛,250mL,450.0,1090.0,490500.0,20250806
(주)빙그레,슈퍼부스트수분충전,500mL,1400.0,880.0,1232000.0,20250806
동아오츠카주식회사,포카리스웨트,340mL,10296.0,470.0,4839120.0,20250807
(주)빙그레,슈퍼부스트파워충전,500mL,10296.0,880.0,9060480.0,20250807
(주)함소아제약,미니언즈프로틴액트초코맛,330mL×12개/상자,3312.0,1650.0,5464800.0,20250807
광동제약(주),비타500치어팩,250mL,5208.0,605.0,3150840.0,20250811
(주)빙그레,슈퍼부스트수분충전,500mL,8400.0,880.0,7392000.0,20250812
코카콜라음료주식회사,토레타!,340mL/캔,12960.0,430.0,5572800.0,20250812
동아오츠카주식회사,포카리스웨트,340mL,10272.0,470.0,4827840.0,20250812
(주)티움글로벌,블링부스터콜라겐,350mL/병,6728.0,685.0,4608680.0,20250812
씨제이제일제당주식회사,식물성얼티브바나나,120mL,3528.0,450.0,1587600.0,20250813
롯데웰푸드 주식회사,이지프로틴시리얼,250mL,480.0,1210.0,580800.0,20250814
동아오츠카주식회사,포카리스웨트,340mL,2475.0,470.0,1163250.0,20250815
롯데칠성음료(주),게토레이블루볼트,600mL,2400.0,880.0,2112000.0,20250815
