id,Country,Name,Business,Founded,Capital,Description,Email
1,몽골,Monos Group (모노스 그룹),Healthcare & Pharma,1990,80M USD,몽골 최대 제약 그룹으로 자체 약국 체인을 통한 고기능성 영양제 공략에 최적.,info@monos.mn
2,몽골,Nomin United (노민 유나이티드),Retail & Distribution,1992,100M USD,백화점 및 대형마트 운영사로 대중적인 비타민 및 홍삼 입점에 유리.,nomin@nomin.net
3,몽골,Tavan Bogd (타반 보그드),Conglomerate,1995,120M USD,글로벌 브랜드 파트너십에 강점이 있어 인지도 높은 한국 제품 선호.,info@tavanbogd.com
4,몽골,CU Mongolia (센트럴 익스프레스),Convenience Store,2018,30M USD,젊은 층 타겟의 다이어트 젤리 및 소포장 건기식 공략에 최적화.,info@cumongol.mn
5,몽골,Emart Mongolia (이마트 몽골),Hypermarket,2016,45M USD,한국 이마트 파트너사 운영으로 한국 제품에 대한 이해도가 매우 높음.,online@e-mart.mn
6,몽골,EuroPharma (유로 파마),Pharmacy Chain,2005,15M USD,현대식 전문 약국 체인으로 한국산 어린이 영양제 수요가 집중되는 곳.,info@europharma.com.mt
7,몽골,Asia Pharma (아시아 파마),Medical Import,2002,20M USD,병원 및 약국 전문 공급사로 식약처 인증 기능성 제품 제안 시 효과적.,marketing@asiapharma.mn
8,몽골,Monos Pharos (모노스 파로스),Brand Distributor,2010,10M USD,모노스 그룹 내 수입 전담팀으로 독점 계약 및 브랜드 총판 논의 시 필수.,trade.assistant@monospharmatrade.mn
9,몽골,BOSA Holding (보사 홀딩스),Food Distributor,1998,25M USD,한국 식품 수입 경험이 풍부하며 건강 음료 및 홍삼 라인업 확장에 열성적.,info@bosa.mn
10,몽골,Everyday Farm (에브리데이 팜),Premium Market,2008,10M USD,고소득층 타겟 유기농 및 친환경 보조식품 제안 시 승산이 높음.,info@everyday.mn
